Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
215,Alex Frolov,24,LAK,LW,82,35,36,71,-8,34,7.4,24,10,1,6,16,18,2,195,17.9,1635,19:56,,,,,
46,Patrice Bergeron,21,BOS,C,77,22,48,70,-28,26,5.8,8,14,0,6,22,24,2,224,9.8,1603,20:49,,,,,
283,Milan Hejduk,30,COL,RW,80,35,35,70,10,44,8.4,22,12,1,6,23,12,0,257,13.6,1430,17:53,,,,,
632,Brad Richards,26,TBL,C,82,25,45,70,-19,23,5.6,12,12,1,3,23,21,1,272,9.2,1977,0:07,,,,,
722,Eric Staal,22,CAR,C,82,30,40,70,-6,68,7.1,17,12,1,1,26,14,0,288,10.4,1650,20:08,,,,,
739,Martin Straka,34,NYR,C,77,29,41,70,16,24,8.2,21,8,0,6,20,20,1,165,17.6,1536,19:57,,,,,
53,Jason Blake,33,NYI,LW,82,40,29,69,1,34,8.3,26,14,0,7,21,8,0,305,13.1,1488,18:09,,,,,
115,Jonathan Cheechoo,26,SJS,RW,76,37,32,69,11,69,9.2,22,15,0,5,17,15,0,250,14.8,1334,17:34,,,,,
169,Chris Drury,30,BUF,C,77,37,32,69,1,30,7.5,17,17,3,9,22,10,0,199,18.6,1446,18:47:00,,,,,
181,Patrik Elias,30,NJD,C,75,21,48,69,1,38,7.1,13,8,0,5,25,23,0,267,7.9,1396,18:37:00,,,,,
518,Scott Niedermayer*,33,ANA,D,79,15,54,69,6,86,11.7,6,9,0,3,29,25,0,172,8.7,2173,3:31,,,,,
218,Simon Gagne,26,PHI,LW,76,41,27,68,2,30,8.6,26,13,2,4,18,8,1,291,14.1,1599,21:02,,,,,
592,Jason Pominville,24,BUF,RW,82,34,34,68,25,30,8.1,30,2,2,5,21,11,2,212,16,1428,17:25,,,,,
620,Mark Recchi*,38,PIT,RW,82,24,44,68,1,62,6.4,10,14,0,3,30,13,1,190,12.6,1616,19:42,,,,,
714,Ryan Smyth,30,TOT,LW,71,36,32,68,2,52,8.4,20,15,1,5,24,7,1,210,17.1,1472,20:44,,,,,
851,Henrik Zetterberg,26,DET,LW,63,33,35,68,26,36,9.2,21,11,1,10,20,13,2,224,14.7,1313,20:50,,,,,
240,Sergei Gonchar,32,PIT,D,82,13,54,67,-5,72,9.6,2,10,1,3,14,38,2,191,6.8,2178,2:34,,,,,
833,Justin Williams,25,CAR,RW,82,33,34,67,-11,73,6.8,19,12,2,8,19,12,3,258,12.8,1710,20:51,,,,,
171,J.P. Dumont,28,NSH,RW,82,21,45,66,14,28,6.9,16,5,0,3,31,14,0,143,14.7,1328,16:12,,,,,
479,Milan Michalek,22,SJS,RW,78,26,40,66,17,36,8,15,11,0,9,24,15,1,191,13.6,1307,16:46,,,,,
158,Pavol Demitra,32,MIN,RW,71,25,39,64,0,28,7.1,15,9,1,4,21,17,1,175,14.3,1466,20:39,,,,,
646,Brian Rolston,33,MIN,RW,78,31,33,64,6,46,7.6,17,13,1,6,11,21,1,305,10.2,1659,21:16,,,,,
716,Sheldon Souray,30,MTL,D,81,26,38,64,-28,135,9.5,6,19,1,6,7,29,2,224,11.6,1878,23:11,,,,,
803,David Vyborny,32,CBJ,RW,82,16,48,64,6,60,5.8,10,6,0,2,27,21,0,158,10.1,1668,20:20,,,,,
75,Dan Boyle,30,TBL,D,82,20,43,63,-5,62,10.4,9,10,1,4,16,27,0,203,9.9,2218,3:03,,,,,
408,David Legwand,26,NSH,C,78,27,36,63,23,44,7.3,23,3,1,7,27,7,2,153,17.6,1432,18:22,,,,,
650,Derek Roy,23,BUF,C,75,21,42,63,37,60,6.8,14,6,1,3,33,8,1,130,16.2,1385,18:28,,,,,
300,Nathan Horton,21,FLA,C,82,31,31,62,15,61,7.3,23,7,1,3,25,6,0,217,14.3,1481,18:04,,,,,
416,Nicklas Lidstrom*,36,DET,D,80,13,49,62,40,46,13.1,3,10,0,1,23,23,3,224,5.8,2199,3:29,,,,,
556,Zach Parise,22,NJD,LW,82,31,31,62,-3,30,7.2,22,9,0,7,18,13,0,247,12.6,1438,17:32,,,,,
695,Brendan Shanahan*,38,NYR,LW,67,29,33,62,2,47,7.2,12,14,3,3,15,17,1,295,9.8,1328,19:49,,,,,
5,Maxim Afinogenov,27,BUF,RW,56,23,38,61,19,66,7.1,16,7,0,3,25,13,0,151,15.2,955,17:03,,,,,
130,Erik Cole,28,CAR,LW,71,29,32,61,2,76,7.1,20,9,0,4,22,9,1,166,17.5,1279,18:01,,,,,
368,Anze Kopitar,19,LAK,C,72,20,41,61,-12,24,5,11,7,2,1,19,22,0,193,10.4,1479,20:32,,,,,
239,Scott Gomez,27,NJD,C,72,13,47,60,7,42,5.7,9,4,0,1,28,19,0,248,5.2,1363,18:56,,,,,
384,Chris Kunitz,27,ANA,LW,81,25,35,60,23,81,7.2,14,11,0,5,26,9,0,180,13.9,1381,17:03,,,,,
392,Jamie Langenbrunner,31,NJD,RW,82,23,37,60,-9,64,5.9,11,12,0,7,27,10,0,243,9.5,1522,18:33,,,,,
511,Markus Naslund,33,VAN,RW,82,24,36,60,3,54,6.4,15,9,0,5,17,19,0,222,10.8,1455,17:44,,,,,
747,Steve Sullivan,32,NSH,RW,57,22,38,60,16,20,6.9,13,6,3,4,20,17,1,122,18,1107,19:25,,,,,
857,Dainius Zubrus,28,TOT,RW,79,24,36,60,-19,62,5,14,10,0,4,23,13,0,158,15.2,1540,19:29,,,,,
604,Chris Pronger*,32,ANA,D,66,13,46,59,27,69,11.7,5,8,0,2,18,28,0,166,7.8,1789,3:06,,,,,
630,Mike Ribeiro,26,DAL,C,81,18,41,59,3,22,6.3,12,6,0,3,20,21,0,111,16.2,1210,14:56,,,,,
674,Miroslav Satan,32,NYI,RW,81,27,32,59,-12,46,5.3,19,7,1,2,18,14,0,216,12.5,1505,18:35,,,,,
700,Mike Sillinger,35,NYI,C,82,26,33,59,5,46,5.8,13,11,2,3,20,12,1,152,17.1,1584,19:19,,,,,
817,Doug Weight,36,STL,C,82,16,43,59,10,56,5.3,11,5,0,3,28,15,0,123,13,1500,18:17,,,,,
829,Ryan Whitney,23,PIT,D,81,14,45,59,9,77,9.8,5,9,0,2,20,24,1,129,10.9,1939,23:56,,,,,
225,Ryan Getzlaf,21,ANA,C,82,25,33,58,17,66,7,13,11,1,6,13,20,0,203,12.3,1235,15:04,,,,,
336,Tomas Kaberle,28,TOR,D,74,11,47,58,3,20,8.2,9,2,0,1,18,28,1,128,8.6,1915,1:52,,,,,
661,Michael Ryder,26,MTL,RW,82,30,28,58,-25,60,6,11,17,2,3,11,17,0,221,13.6,1335,16:17,,,,,
778,Keith Tkachuk,34,TOT,LW,79,27,31,58,11,126,6.6,17,10,0,4,21,9,1,196,13.8,1382,17:29,,,,,
799,Lubomir Visnovsky,30,LAK,D,69,18,40,58,1,26,9.5,10,8,0,0,15,25,0,159,11.3,1687,24:27:00,,,,,
65,Pierre-Marc Bouchard,22,MIN,C,82,20,37,57,13,14,6.6,15,5,0,3,18,19,0,173,11.6,1311,15:59,,,,,
185,Martin Erat,25,NSH,LW,68,16,41,57,13,50,5.5,10,5,1,3,28,13,0,132,12.1,1290,18:59:00,,,,,
217,Marian Gaborik,24,MIN,RW,48,30,27,57,12,40,8.1,17,12,1,7,17,10,0,196,15.3,942,19:38,,,,,
277,Martin Havlat,25,CHI,RW,56,25,32,57,15,28,7.1,20,5,0,1,20,11,1,176,14.2,1198,21:24,,,,,
457,Bryan McCabe,31,TOR,D,82,15,42,57,3,115,8.6,4,11,0,1,19,23,0,207,7.2,2200,2:50,,,,,
510,Rick Nash,22,CBJ,LW,75,27,30,57,-8,73,6,17,9,1,5,15,13,2,228,11.8,1440,19:12,,,,,
744,Jozef Stumpel,34,FLA,C,73,23,34,57,2,22,5.6,12,9,2,4,18,16,0,131,17.6,1396,19:07,,,,,
258,Bill Guerin,36,TOT,RW,77,36,20,56,10,66,7.5,27,9,0,7,13,7,0,225,16,1309,17:00,,,,,
280,Jochen Hecht,29,BUF,C,76,19,37,56,19,39,5.1,16,3,0,1,30,6,1,197,9.6,1432,18:51,,,,,
163,Shane Doan,30,PHX,RW,73,27,28,55,-14,73,5.2,16,11,0,7,16,12,0,209,12.9,1493,20:27,,,,,
207,Peter Forsberg*,33,TOT,C,57,13,42,55,7,88,5.4,7,6,0,3,23,19,0,99,13.1,1043,18:18,,,,,
509,Ladislav Nagy,27,TOT,LW,80,12,43,55,-5,54,4.3,8,4,0,1,23,20,0,146,8.2,1386,17:20,,,,,
605,Vinny Prospal,31,TBL,C,82,14,41,55,-24,36,3.5,12,2,0,1,31,10,0,219,6.4,1563,19:04,,,,,
615,Brian Rafalski,33,NJD,D,82,8,47,55,4,34,10.4,4,3,1,4,20,27,0,148,5.4,2090,1:29,,,,,
775,Kimmo Timonen,31,NSH,D,80,13,42,55,20,42,9.9,5,8,0,2,23,18,1,121,10.7,1748,21:51,,,,,
17,Jason Arnott,32,NSH,C,68,27,27,54,15,48,6.5,15,12,0,6,19,8,0,190,14.2,1223,17:59,,,,,
122,Chris Clark,30,WSH,RW,74,30,24,54,-10,66,5.9,17,9,4,2,17,7,0,164,18.3,1363,18:25,,,,,
359,Mike Knuble,34,PHI,RW,64,24,30,54,2,56,6,14,10,0,1,22,8,0,160,15,1256,19:38,,,,,
362,Mikko Koivu,23,MIN,C,82,20,34,54,6,58,5.8,9,9,2,2,23,10,1,162,12.3,1433,17:29,,,,,
856,Sergei Zubov*,36,DAL,D,78,12,42,54,0,26,10.4,3,9,0,3,11,31,0,156,7.7,2024,25:57:00,,,,,
285,Ales Hemsky,23,EDM,RW,64,13,40,53,-7,40,4.9,8,5,0,1,20,20,0,122,10.7,1087,16:59,,,,,
714,Ryan Smyth,30,EDM,LW,53,31,22,53,2,38,7.2,16,14,1,5,18,4,0,161,19.3,1068,20:09,,,,,
755,Petr Sykora,30,EDM,C,82,22,31,53,-20,40,4.9,16,6,0,6,12,19,0,206,10.7,1366,16:40,,,,,
297,Tomas Holmstrom,34,DET,LW,77,30,22,52,13,58,6.9,17,13,0,5,16,6,0,176,17,1171,15:13,,,,,
391,Robert Lang,36,DET,C,81,19,33,52,12,66,5.4,13,6,0,4,22,11,0,166,11.4,1362,16:49,,,,,
679,Mathieu Schneider,37,DET,D,68,11,41,52,12,66,9.1,8,2,1,2,12,29,0,184,6,1603,23:35,,,,,
732,Lee Stempniak,23,STL,RW,82,27,25,52,-2,33,5.8,19,8,0,4,14,11,0,166,16.3,1207,14:43,,,,,
857,Dainius Zubrus,28,WSH,RW,60,20,32,52,-16,50,4.7,11,9,0,4,20,12,0,127,15.7,1191,19:51,,,,,
66,Philippe Boucher,33,DAL,D,76,19,32,51,2,104,10.5,7,12,0,4,12,19,1,222,8.6,1740,22:54,,,,,
298,Shawn Horcoff,28,EDM,C,80,16,35,51,-22,56,3.6,11,5,0,5,17,18,0,168,9.5,1666,20:50,,,,,
374,Viktor Kozlov,31,NYI,C,81,25,26,51,12,28,5.6,20,5,0,4,18,7,1,165,15.2,1330,16:25,,,,,
498,Brendan Morrison,31,VAN,C,82,20,31,51,-9,60,4.6,12,6,2,3,19,12,0,139,14.4,1472,17:57,,,,,
805,Scott Walker,33,CAR,RW,81,21,30,51,-10,45,4.7,15,6,0,6,24,6,0,183,11.5,1310,16:10,,,,,
577,Dion Phaneuf,21,CGY,D,79,17,33,50,10,98,8.8,4,13,0,4,15,18,0,230,7.4,2027,1:40,,,,,
838,Wojtek Wolski,20,COL,LW,76,22,28,50,2,14,5.2,15,7,0,2,17,10,1,165,13.3,1180,15:31,,,,,
842,Alexei Yashin,33,NYI,C,58,18,32,50,6,44,5.2,13,5,0,3,16,16,0,203,8.9,990,17:04,,,,,
16,Tyler Arnason,27,COL,C,82,16,33,49,-8,26,4.1,15,1,0,3,22,11,0,211,7.6,1176,14:20,,,,,
448,Andrei Markov,28,MTL,D,77,6,43,49,2,56,8.1,1,5,0,2,13,27,3,128,4.7,1885,0:29,,,,,
21,Sean Avery,26,TOT,LW,84,18,30,48,1,174,4.2,15,2,1,2,16,13,1,249,7.2,1444,17:11,,,,,
100,Petr Cajanek,31,STL,C,77,15,33,48,9,54,4.5,14,1,0,1,25,8,0,167,9,1251,16:15,,,,,
104,Brian Campbell,27,BUF,D,82,6,42,48,28,35,7.6,5,1,0,1,33,8,1,92,6.5,1794,21:53,,,,,
203,Mike Fisher,26,OTT,C,68,22,26,48,15,41,5.1,13,7,2,3,19,5,2,193,11.4,1253,18:25,,,,,
327,Jussi Jokinen,23,DAL,LW,82,14,34,48,8,18,5.1,8,6,0,1,19,15,0,121,11.6,1140,13:54,,,,,
547,Michel Ouellet,24,PIT,RW,73,19,29,48,-3,30,4.9,8,11,0,2,21,8,0,148,12.8,973,13:20,,,,,
819,Stephen Weiss,23,FLA,C,74,20,28,48,-1,28,4.5,10,10,0,1,15,11,2,176,11.4,1266,17:07,,,,,
258,Bill Guerin,36,STL,RW,61,28,19,47,8,52,6,21,7,0,6,12,7,0,189,14.8,1063,17:26,,,,,
373,Alex Kovalev,33,MTL,RW,73,18,29,47,-19,78,3.8,10,8,0,5,14,14,1,197,9.1,1332,18:15,,,,,
586,Tomas Plekanec,24,MTL,C,81,20,27,47,10,36,5.3,13,5,2,1,16,9,2,150,13.3,1294,15:59,,,,,
45,Marc-Andre Bergeron,26,TOT,D,78,14,32,46,-4,38,7.8,4,10,0,4,17,15,0,166,8.4,1491,19:07,,,,,
74,Brad Boyes,24,TOT,C,81,17,29,46,-17,29,3.6,15,1,1,2,20,8,1,182,9.3,1327,16:23,,,,,
90,Dustin Brown,22,LAK,LW,81,17,29,46,-21,54,2.8,4,13,0,1,16,12,1,195,8.7,1516,18:43,,,,,
425,Matthew Lombardi,24,CGY,C,81,20,26,46,10,48,4.5,11,5,4,5,17,8,1,176,11.4,1326,16:22,,,,,
678,Peter Schaefer,29,OTT,LW,77,12,34,46,7,32,3.5,7,5,0,2,25,8,1,132,9.1,1288,16:44,,,,,
134,Mike Comrie,26,TOT,C,65,20,25,45,0,44,4.7,13,7,0,3,17,8,0,125,16,991,15:15,,,,,
228,Brian Gionta,28,NJD,RW,62,25,20,45,-3,36,5.3,14,11,0,4,13,7,0,194,12.9,1167,18:49,,,,,
507,Glen Murray,34,BOS,RW,59,28,17,45,-12,44,5.3,16,12,0,4,11,6,0,201,13.9,1106,18:45,,,,,
566,Dustin Penner,24,ANA,RW,82,29,16,45,-2,58,5.5,20,9,0,5,9,7,0,204,14.2,1147,13:59,,,,,
593,Alexei Ponikarovsky,26,TOR,LW,71,21,24,45,8,63,4.6,15,6,0,1,19,5,0,198,10.6,1214,17:06,,,,,
15,Derek Armstrong,33,LAK,C,67,11,33,44,13,62,4.3,8,3,0,0,27,6,0,109,10.1,1009,15:04,,,,,
222,Martin Gelinas,36,FLA,LW,82,14,30,44,7,36,4.1,7,7,0,1,24,6,0,171,8.2,1101,13:26,,,,,
418,John-Michael Liles,26,COL,D,71,14,30,44,0,24,6.8,6,8,0,3,10,20,0,128,10.9,1261,17:46,,,,,
571,Corey Perry,21,ANA,RW,82,17,27,44,12,55,4.9,13,4,0,3,11,16,0,194,8.8,1022,12:28,,,,,
596,Tom Poti,29,NYI,D,78,6,38,44,-1,74,6.3,0,6,0,1,11,26,1,134,4.5,2006,1:43,,,,,
713,Bryan Smolinski,35,TOT,C,82,18,26,44,7,37,4.2,8,6,4,3,19,6,1,163,11,1475,17:59,,,,,
745,Marco Sturm,28,BOS,LW,76,27,17,44,-24,46,4.1,15,10,2,1,9,8,0,224,12.1,1413,18:36,,,,,
827,Todd White,31,MIN,C,77,13,31,44,8,24,4.3,6,6,1,1,22,8,1,162,8,1326,17:13,,,,,
114,Zdeno Chara,29,BOS,D,80,11,32,43,-21,100,6.5,2,9,0,3,14,17,1,204,5.4,2237,3:58,,,,,
410,Jere Lehtinen,33,DAL,RW,73,26,17,43,5,16,5.3,14,11,1,5,10,7,0,194,13.4,1418,19:26,,,,,
486,Mike Modano*,36,DAL,C,59,22,21,43,9,34,5.5,13,9,0,7,11,9,1,141,15.6,1086,18:24,,,,,
584,Joni Pitkanen,23,PHI,D,77,4,39,43,-25,88,5,3,1,0,0,20,17,2,137,2.9,1890,0:33,,,,,
778,Keith Tkachuk,34,STL,LW,61,20,23,43,3,92,4.6,12,8,0,1,18,5,0,160,12.5,1063,17:26,,,,,
783,Darcy Tucker,31,TOR,RW,56,24,19,43,-11,81,4.4,9,15,0,6,13,6,0,143,16.8,996,17:47,,,,,
51,Kevin Bieksa,25,VAN,D,81,12,30,42,1,134,8.6,6,6,0,2,17,13,0,203,5.9,1966,0:16,,,,,
72,Jay Bouwmeester,23,FLA,D,82,12,30,42,23,66,8.8,9,3,0,3,22,8,0,174,6.9,2144,2:09,,,,,
110,Matt Carle,22,SJS,D,77,11,31,42,9,30,8.2,3,8,0,1,13,18,0,111,9.9,1397,18:08,,,,,
193,Sergei Fedorov*,37,CBJ,C,73,18,24,42,-7,56,3.6,9,7,2,2,11,11,2,163,11,1455,19:56,,,,,
487,Fredrik Modin,32,CBJ,LW,79,22,20,42,-3,50,4,16,6,0,4,14,6,0,220,10,1510,19:07,,,,,
537,Jeff O'Neill,30,TOR,C,74,20,22,42,1,54,4.3,14,6,0,3,17,5,0,165,12.1,1016,13:43,,,,,
641,Gary Roberts,40,TOT,LW,69,20,22,42,0,97,4.1,14,6,0,4,13,9,0,125,16,1154,16:43,,,,,
723,Jordan Staal,18,PIT,C,81,29,13,42,16,24,5.6,18,4,7,4,9,2,2,131,22.1,1210,14:56,,,,,
821,Kyle Wellwood,23,TOR,C,48,12,30,42,3,0,4,5,7,0,2,16,14,0,99,12.1,798,16:38,,,,,
847,Travis Zajac,21,NJD,C,80,17,25,42,1,16,4.2,11,6,0,2,19,6,0,134,12.7,1283,16:03,,,,,
147,Matt Cullen,30,NYR,C,80,16,25,41,0,52,3.5,11,2,3,2,18,5,2,217,7.4,1373,17:10,,,,,
509,Ladislav Nagy,27,PHX,LW,55,8,33,41,-2,48,3.2,6,2,0,0,18,15,0,113,7.1,983,17:52,,,,,
802,Radim Vrbata,25,CHI,RW,77,14,27,41,-4,26,3.3,9,5,0,2,20,6,1,215,6.5,1300,16:53,,,,,
93,Sergei Brylin,33,NJD,C,82,16,24,40,-5,35,3.4,8,8,0,2,16,7,1,97,16.5,1456,17:45,,,,,
125,Dan Cleary,28,DET,RW,71,20,20,40,6,24,4.5,12,6,2,5,17,2,1,135,14.8,1098,15:28,,,,,
207,Peter Forsberg*,33,PHI,C,40,11,29,40,2,72,4.1,6,5,0,2,16,13,0,63,17.5,710,17:44,,,,,
525,Owen Nolan,34,PHX,RW,76,16,24,40,-2,56,3.6,11,2,3,1,14,10,0,154,10.4,1172,15:25,,,,,
606,Petr Prucha,24,NYR,C,79,22,18,40,-7,30,4.4,14,8,0,2,10,8,0,136,16.2,1027,13:00,,,,,
643,Randy Robitaille,31,TOT,C,78,11,29,40,-6,44,2.9,8,3,0,1,23,6,0,120,9.2,1103,14:08,,,,,
652,Michal Rozsival,28,NYR,D,80,10,30,40,10,52,8.3,3,7,0,3,15,13,2,104,9.6,1902,23:46,,,,,
816,Shea Weber,21,NSH,D,79,17,23,40,13,60,8.1,11,6,0,2,14,8,1,152,11.2,1532,19:23,,,,,
121,Brett Clark,30,COL,D,82,10,29,39,5,50,6.7,6,4,0,1,18,10,1,140,7.1,1942,23:41,,,,,
267,Jeff Hamilton,29,CHI,C,70,18,21,39,-4,22,4.3,15,3,0,4,10,11,0,138,13,905,12:56,,,,,
274,Scott Hartnell,24,NSH,RW,64,22,17,39,19,96,5,12,10,0,2,15,1,1,150,14.7,1006,15:43,,,,,
559,Mark Parrish,29,MIN,RW,76,19,20,39,9,18,4.8,14,5,0,4,14,6,0,141,13.5,1089,14:20,,,,,
726,Matt Stajan,23,TOR,C,82,10,29,39,3,44,2.4,8,1,1,1,23,6,0,132,7.6,1324,16:09,,,,,
737,Jarret Stoll,24,EDM,C,51,13,26,39,2,48,4.1,6,6,1,2,14,11,1,115,11.3,928,18:12,,,,,
796,Antoine Vermette,24,OTT,C,77,19,20,39,-2,52,3.3,14,2,3,2,16,3,1,151,12.6,1210,15:42,,,,,
268,Roman Hamrlik,32,CGY,D,75,7,31,38,22,88,7.4,6,1,0,1,13,17,1,125,5.6,1865,0:52,,,,,
288,Chris Higgins,23,MTL,C,61,22,16,38,-11,26,4,11,8,3,3,9,7,0,159,13.8,1092,17:54,,,,,
349,Chris Kelly,26,OTT,C,82,15,23,38,28,40,3.9,12,1,2,0,19,1,3,131,11.5,1255,15:18,,,,,
371,Ales Kotalik,28,BUF,RW,66,16,22,38,-5,46,3.1,13,3,0,4,14,8,0,162,9.9,958,14:31,,,,,
569,Yanic Perreault,35,TOT,C,66,21,17,38,-1,34,4.1,14,7,0,5,12,5,0,125,16.8,1026,15:33,,,,,
601,Tom Preissing,28,OTT,D,80,7,31,38,40,18,8.1,4,3,0,0,16,15,0,94,7.4,1220,15:15,,,,,
657,Tuomo Ruutu,23,CHI,C,71,17,21,38,4,95,3.8,16,1,0,1,14,7,0,115,14.8,1232,17:21,,,,,
853,Alexei Zhitnik,34,TOT,D,79,7,31,38,1,92,6.4,4,3,0,2,19,11,1,132,5.3,1904,24:06:00,,,,,
113,Jeff Carter,22,PHI,C,62,14,23,37,-17,48,2.6,9,3,2,1,18,4,1,215,6.5,1178,19:00,,,,,
137,Craig Conroy,35,TOT,C,80,13,24,37,-3,56,2.6,8,4,1,2,18,5,1,112,11.6,1253,15:40,,,,,
140,Joe Corvo,29,OTT,D,76,8,29,37,8,42,5.6,5,3,0,2,17,12,0,160,5,1373,18:04,,,,,
174,Radek Dvorak,29,STL,RW,82,10,27,37,-6,48,2.2,8,1,1,1,19,8,0,139,7.2,1282,15:38,,,,,
381,Filip Kuba,30,TBL,D,81,15,22,37,-9,36,6.3,9,5,1,2,8,13,1,106,14.2,1637,20:12,,,,,
565,Ville Peltonen,33,FLA,LW,72,17,20,37,7,28,3.5,13,4,0,0,17,2,1,145,11.7,1182,16:25,,,,,
609,Taylor Pyatt,25,VAN,LW,76,23,14,37,5,42,4.7,14,9,0,4,12,2,0,150,15.3,1061,13:58,,,,,
614,Alexander Radulov,20,NSH,RW,64,18,19,37,19,26,4.9,13,5,0,4,13,6,0,96,18.8,745,11:38,,,,,
